Order ID,Pick Slip ID,Product ID,Product Description,Date/Time Returned,Return Line Qty Returned,Return Line Disposition
#144247,334831,FM-HAPPY-3940,HAPPY-SLIDES-3940,05/02/2025 15:21:00,1,Return to Stock
#143485,331711,FM-CAMEL-3536,CAMEL-SLIDES-3536,04/11/2025 10:55:00,1,Return to Stock
#141615,287203,FM-CAMEL-3637,CAMEL-SLIDES-3637,12/30/2024 15:38:00,1,Return to Stock
#142849,327252,FM-CAMEL-3637,CAMEL-SLIDES-3637,02/25/2025 14:59:00,1,Return to Stock
#143571,331869,FM-CAMEL-3738,CAMEL-SLIDES-3738,04/11/2025 10:56:00,1,Return to Stock
#143514,331939,FM-CAMEL-3738,CAMEL-SLIDES-3738,04/11/2025 11:39:00,1,Return to Stock
#141513,285147,FM-CAMEL-3940,CAMEL-SLIDES-3940,12/30/2024 15:37:00,1,Return to Stock
#143583,331887,FM-VENUS-3940,VENUS-SLIDES-3940,04/08/2025 15:05:00,1,Return to Stock
#141558,285834,FM-VENUS-2627,VENUS-SLIDES-2627,12/10/2024 11:13:00,1,Return to Stock
#144523,335831,FM-VENUS-3031,VENUS-SLIDES-3031,05/13/2025 12:01:00,1,Return to Stock
#143145,330052,FM-VENUS-3233,VENUS-SLIDES-3233,03/25/2025 10:07:00,1,Return to Stock
#142789,326546,FM-BLING-3435,BLING-SLIDES-3435,02/19/2025 14:48:00,1,Return to Stock
#142911,328112,FM-BLING-3435,BLING-SLIDES-3435,03/04/2025 16:00:00,1,Return to Stock
#142863,327642,FM-ULTRA-3536,ULTRA-SLIDES-3536,03/20/2025 10:51:00,1,Return to Stock
#143991,333839,FM-WHI-3738,WHITE-SLIDES-3738,05/13/2025 09:22:00,1,Return to Stock
#144369,335373,FM-WHI-3839,WHITE-SLIDES-3839,05/13/2025 10:43:00,1,Return to Stock
#143977,333828,FM-WHI-3940,WHITE-SLIDES-3940,05/07/2025 16:08:00,1,Return to Stock
#143977,333828,FM-WHI-3940,WHITE-SLIDES-3940,05/07/2025 16:12:00,1,Return to Stock
#143291,330872,FM-WHI-3233,WHITE-SLIDES-3233,04/03/2025 15:56:00,1,Return to Stock
#143242,330584,FM-TWI-3738,TWILIGHT-SLIDES-3738,04/11/2025 09:41:00,1,Return to Stock
#144087,334230,FM-TWI-3738,TWILIGHT-SLIDES-3738,05/01/2025 14:57:00,1,Return to Stock
#144792,336820,FM-TWI-3738,TWILIGHT-SLIDES-3738,05/13/2025 12:12:00,1,Return to Stock
#144547,335976,FM-TWI-4142,TWILIGHT-SLIDES-4142,05/13/2025 09:40:00,1,Return to Stock
#143758,332864,FM-TOF-3536,TOFFEE-SLIDES-3536,04/16/2025 15:23:00,1,Return to Stock
#142671,318703,FM-TOF-3637,TOFFEE-SLIDES-3637,02/19/2025 14:51:00,1,Return to Stock
#142849,327252,FM-TOF-3637,TOFFEE-SLIDES-3637,02/25/2025 14:59:00,1,Return to Stock
#144940,337315,FM-TOF-3637,TOFFEE-SLIDES-3637,05/13/2025 12:16:00,1,Return to Stock
#143991,333839,FM-TOF-3738,TOFFEE-SLIDES-3738,05/13/2025 09:22:00,1,Return to Stock
#144223,334857,FM-TOF-3738,TOFFEE-SLIDES-3738,05/13/2025 09:41:00,1,Return to Stock
#143117,329772,FM-TOF-3839,TOFFEE-SLIDES-3839,03/20/2025 10:55:00,1,Return to Stock
#143159,330214,FM-TOF-3839,TOFFEE-SLIDES-3839,04/03/2025 16:00:00,1,Return to Stock
#144462,335687,FM-TOF-3940,TOFFEE-SLIDES-3940,05/13/2025 11:36:00,1,Return to Stock
